"RowNames","lon","lat","elevation","vegetation","exposure","slope","veg9"
"6549",489.92043622160003,699.49856582660004,988,26,59,18,7
"6550",493.43072872160002,699.49856582660004,1275,40,56,7,9
"6551",496.94102122160001,699.49856582660004,1166,40,79,6,9
"6552",500.4513137216,699.49856582660004,1211,26,9,9,7
"6553",503.96160622159999,699.49856582660004,1145,26,90,25,7
"6554",507.47189872159998,699.49856582660004,1209,26,215,18,7
"6555",510.98219122159998,699.49856582660004,1278,26,288,4,7
"6556",514.49248372160002,699.49856582660004,1369,26,355,23,7
"6557",518.00277622160002,699.49856582660004,1347,26,52,8,7
"6558",521.51306872160001,699.49856582660004,1448,26,327,11,7
"6559",525.0233612216,699.49856582660004,1551,26,217,10,7
"6560",528.53365372159999,699.49856582660004,1474,26,266,10,7
"6561",532.04394622159998,699.49856582660004,1530,26,198,4,7
"6562",535.55423872159997,699.49856582660004,1703,12,290,6,5
"6563",539.06453122159996,699.49856582660004,1622,12,209,8,5
"6564",542.57482372159996,699.49856582660004,1632,12,145,10,5
"6565",546.08511622159995,699.49856582660004,1609,12,191,11,5
"6566",549.59540872160005,699.49856582660004,1657,26,86,4,7
"6567",553.10570122160004,699.49856582660004,1364,26,64,14,7
"6568",556.61599372160003,699.49856582660004,1219,26,84,0,7
"6569",560.12628622160003,699.49856582660004,1435,26,243,4,7
"6570",563.63657872160002,699.49856582660004,1693,12,194,11,5
"6571",567.14687122160001,699.49856582660004,1463,15,127,0,6
"6572",570.6571637216,699.49856582660004,1640,15,13,16,6
"6573",574.16745622159999,699.49856582660004,1736,15,337,16,6
"6574",577.67774872159998,699.49856582660004,1957,15,151,10,6
"6575",581.18804122159997,699.49856582660004,2227,26,224,21,7
"6576",584.69833372159997,699.49856582660004,2310,10,3,13,4
"6577",588.20862622159996,699.49856582660004,2479,5,60,11,3
"6578",591.71891872159995,699.49856582660004,2271,10,180,9,4
"6579",595.22921122160005,699.49856582660004,2360,10,180,15,4
"6580",598.73950372160004,699.49856582660004,2131,36,100,15,8
"6581",602.24979622160004,699.49856582660004,1586,15,86,1,6
"6582",605.76008872160003,699.49856582660004,2214,36,308,9,8
"6583",609.27038122160002,699.49856582660004,2265,10,109,8,4
"6584",612.78067372160001,699.49856582660004,2175,26,356,14,7
"6585",616.2909662216,699.49856582660004,1774,15,46,13,6
"6586",619.80125872159999,699.49856582660004,1646,15,337,0,6
"6587",623.31155122159998,699.49856582660004,1828,15,-1,0,6
"6588",626.82184372159998,699.49856582660004,1889,15,45,0,6
"6589",630.33213622159997,699.49856582660004,2009,26,322,17,7
"6590",633.84242872159996,699.49856582660004,1871,15,43,19,6
"6591",637.35272122159995,699.49856582660004,1954,15,22,4,6
"6592",640.86301372160005,699.49856582660004,1738,15,75,13,6
"6593",644.37330622160005,699.49856582660004,1763,15,5,11,6
"6594",647.88359872160004,699.49856582660004,1725,12,277,21,5
"6595",735.64091122160005,699.49856582660004,1097,40,115,21,9
"6596",739.15120372160004,699.49856582660004,1037,40,40,4,9
"6597",742.66149622160003,699.49856582660004,853,40,38,3,9
"6598",746.17178872160002,699.49856582660004,745,40,39,4,9
"6599",749.68208122160001,699.49856582660004,666,40,90,2,9
"6600",753.19237372160001,699.49856582660004,731,40,259,3,9
"6601",756.7026662216,699.49856582660004,1042,40,221,11,9
"6602",760.21295872159999,699.49856582660004,793,39,114,2,9
"6603",763.72325122159998,699.49856582660004,731,39,0,0,9
"6604",767.23354372159997,699.49856582660004,700,2,164,7,1
"6605",770.74383622159996,699.49856582660004,671,2,211,0,1
"6606",774.25412872159995,699.49856582660004,689,2,222,6,1
"6607",777.76442122159995,699.49856582660004,730,2,279,0,1
"6608",482.89985122159999,696.95410082659998,1280,26,-1,0,7
"6609",486.41014372159998,696.95410082659998,1369,26,75,9,7
"6610",489.92043622160003,696.95410082659998,1235,26,284,17,7
"6611",493.43072872160002,696.95410082659998,1125,40,249,8,9
"6612",496.94102122160001,696.95410082659998,1340,40,9,0,9
"6613",500.4513137216,696.95410082659998,1421,26,350,4,7
"6614",503.96160622159999,696.95410082659998,1253,26,24,8,7
"6615",507.47189872159998,696.95410082659998,1306,26,255,11,7
"6616",510.98219122159998,696.95410082659998,1401,26,37,1,7
"6617",514.49248372160002,696.95410082659998,1402,26,90,0,7
"6618",518.00277622160002,696.95410082659998,1571,26,50,15,7
"6619",521.51306872160001,696.95410082659998,1488,33,20,17,8
"6620",525.0233612216,696.95410082659998,1578,12,315,12,5
"6621",528.53365372159999,696.95410082659998,1530,12,107,6,5
"6622",532.04394622159998,696.95410082659998,1566,12,271,11,5
"6623",535.55423872159997,696.95410082659998,1483,26,146,3,7
"6624",539.06453122159996,696.95410082659998,1497,26,219,2,7
"6625",542.57482372159996,696.95410082659998,1473,26,160,2,7
"6626",546.08511622159995,696.95410082659998,1524,12,-1,0,5
"6627",549.59540872160005,696.95410082659998,1548,12,189,6,5
"6628",553.10570122160004,696.95410082659998,1518,12,335,10,5
"6629",556.61599372160003,696.95410082659998,1476,26,38,18,7
"6630",560.12628622160003,696.95410082659998,1217,33,223,3,8
"6631",563.63657872160002,696.95410082659998,1344,33,169,1,8
"6632",567.14687122160001,696.95410082659998,1540,15,224,9,6
"6633",570.6571637216,696.95410082659998,1829,15,209,5,6
"6634",574.16745622159999,696.95410082659998,1819,15,92,22,6
"6635",577.67774872159998,696.95410082659998,1647,15,117,1,6
"6636",581.18804122159997,696.95410082659998,1976,15,144,18,6
"6637",584.69833372159997,696.95410082659998,2150,36,208,10,8
"6638",588.20862622159996,696.95410082659998,2007,15,202,9,6
"6639",591.71891872159995,696.95410082659998,2075,26,48,19,7
"6640",595.22921122160005,696.95410082659998,2004,15,163,13,6
"6641",598.73950372160004,696.95410082659998,2194,26,277,4,7
"6642",602.24979622160004,696.95410082659998,1838,15,101,5,6
"6643",605.76008872160003,696.95410082659998,1923,26,242,19,7
"6644",609.27038122160002,696.95410082659998,2222,36,52,11,8
"6645",612.78067372160001,696.95410082659998,2023,26,17,11,7
"6646",616.2909662216,696.95410082659998,1852,15,49,12,6
"6647",619.80125872159999,696.95410082659998,1584,15,243,0,6
"6648",623.31155122159998,696.95410082659998,1742,15,215,4,6
"6649",626.82184372159998,696.95410082659998,1856,15,152,9,6
"6650",630.33213622159997,696.95410082659998,1973,15,109,13,6
"6651",633.84242872159996,696.95410082659998,1900,15,158,15,6
"6652",637.35272122159995,696.95410082659998,1875,15,129,13,6
