"","ENT_REGIS","MUN_REGIS","LOC_REGIS","TAM_LOC_RE","DIA_REGIS","MES_REGIS","ANIO_REGIS","REGIMEN_MA","GENERO","SEXO_CON1","EDAD_CON1","NACI_CON1","OCUP_CON1","ENTRH_CON1","MUNRH_CON1","LOCRH_CON1","TLORH_CON1","ESCOL_CON1","CONACTCON1","SITLABCON1","POSTRACON1","SEXO_CON2","EDAD_CON2","NACI_CON2","OCUP_CON2","ENTRH_CON2","MUNRH_CON2","LOCRH_CON2","TLORH_CON2","ESCOL_CON2","CONACTCON2","SITLABCON2","POSTRACON2","TIPO_CON","NOM_LOC"
"132",2,2,1,15,2,6,2017,NA,1,1,32,1,8,7,59,101,2,NA,1,1,NA,2,24,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"133",2,2,1,15,31,3,2017,NA,1,1,53,1,NA,10,5,1,15,NA,1,1,NA,2,42,1,11,26,18,1,14,NA,2,3,NA,1,"Ensenada"
"134",2,2,1,15,29,4,2017,NA,1,1,25,1,8,7,89,1,13,NA,1,1,NA,2,23,1,8,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"135",2,2,1,15,7,2,2017,NA,1,1,21,1,NA,15,25,1,13,NA,1,1,NA,2,21,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"136",2,2,1,15,29,9,2017,NA,1,1,34,1,NA,2,2,1,15,NA,1,1,NA,2,31,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"137",2,2,1,15,25,5,2017,NA,1,1,25,2,8,33,999,9999,NA,NA,1,1,NA,2,22,1,11,25,6,1,15,NA,2,2,NA,1,"Ensenada"
"138",2,2,1,15,28,6,2017,NA,1,1,22,1,NA,2,2,1,15,NA,1,1,NA,2,23,1,NA,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"139",2,2,1,15,15,5,2017,NA,1,1,53,1,4,2,2,459,4,NA,1,1,NA,2,39,1,NA,20,999,9999,NA,NA,1,1,NA,1,"Ensenada"
"140",2,2,1,15,8,2,2017,NA,1,1,34,1,NA,6,2,1,13,NA,1,1,NA,2,37,1,11,2,2,1,15,NA,2,3,NA,1,"Ensenada"
"141",2,2,1,15,31,3,2017,NA,1,1,30,1,2,2,4,1,16,7,1,1,NA,2,34,1,2,2,1,857,4,7,1,1,NA,1,"Ensenada"
"142",2,2,1,15,4,5,2017,NA,1,1,33,1,2,25,12,1,14,7,1,1,NA,2,30,1,2,2,2,1,15,NA,1,1,NA,1,"Ensenada"
"143",2,2,1,15,19,12,2017,NA,1,1,37,1,2,26,18,1,14,NA,1,1,NA,2,38,1,2,25,15,1,11,NA,1,1,NA,1,"Ensenada"
"144",2,2,1,15,30,3,2017,NA,1,1,55,1,NA,14,39,1,16,NA,NA,NA,NA,2,60,1,11,14,98,1,15,NA,2,3,NA,1,"Ensenada"
