ENT_REGIS,MUN_REGIS,LOC_REGIS,TAM_LOC_RE,DIA_REGIS,MES_REGIS,ANIO_REGIS,REGIMEN_MA,GENERO,SEXO_CON1,EDAD_CON1,NACI_CON1,OCUP_CON1,ENTRH_CON1,MUNRH_CON1,LOCRH_CON1,TLORH_CON1,ESCOL_CON1,CONACTCON1,SITLABCON1,POSTRACON1,SEXO_CON2,EDAD_CON2,NACI_CON2,OCUP_CON2,ENTRH_CON2,MUNRH_CON2,LOCRH_CON2,TLORH_CON2,ESCOL_CON2,CONACTCON2,SITLABCON2,POSTRACON2,TIPO_CON
14,097,0032,8,23,3,2017,1,1,1,45,1,7,14,097,0032,8,4,1,1,4,2,31,1,11,14,097,0032,8,5,2,3,9,1
09,014,0001,14,4,3,2017,2,1,1,32,1,2,09,014,0001,14,7,1,1,2,2,32,1,1,09,014,0001,14,7,1,1,5,1
19,009,0001,11,13,5,2017,1,1,1,30,1,98,19,009,0001,11,9,1,1,2,2,26,1,98,19,009,0001,11,9,1,1,2,1
07,101,0001,15,28,2,2017,1,1,1,28,1,98,07,101,0001,15,5,1,1,2,2,19,1,11,07,101,0001,15,5,2,3,9,1
28,038,0001,14,27,5,2017,1,1,1,31,2,98,28,038,0001,14,7,1,1,2,2,45,2,98,28,038,0001,14,7,1,1,2,1
19,019,0001,13,7,11,2017,1,1,1,34,1,98,19,026,0001,15,7,1,1,2,2,28,1,98,19,019,0001,13,6,1,1,2,1
26,004,0001,5,14,2,2017,1,1,1,47,1,98,26,004,0001,5,4,1,1,2,2,36,1,11,26,004,0001,5,4,2,3,9,1
07,021,0001,5,22,11,2017,1,1,1,29,1,6,07,021,0009,1,5,1,1,3,2,27,1,11,07,021,0020,1,5,2,3,9,1
32,038,0001,5,5,9,2017,1,1,1,21,1,7,32,038,0126,2,6,1,1,1,2,20,1,11,32,038,0126,2,6,2,3,9,1
30,189,0001,12,26,4,2017,1,1,1,27,1,2,30,124,0001,11,6,1,1,2,2,26,1,11,30,189,0001,12,6,2,3,9,1
15,033,0001,17,25,3,2017,1,1,1,30,1,98,15,033,0001,17,5,1,1,2,2,30,1,98,15,109,0001,8,6,1,1,2,1
30,131,0001,13,12,6,2017,1,1,1,28,1,98,30,131,0001,13,6,1,1,2,2,26,1,11,30,131,0001,13,7,2,3,9,1
10,007,0001,14,23,8,2017,1,1,1,26,1,98,28,027,0001,14,5,1,1,4,2,33,1,98,28,027,0001,14,6,1,1,2,1
07,031,0619,1,28,2,2017,1,1,1,28,1,6,07,031,0619,1,5,1,1,3,2,26,1,11,07,031,0619,1,3,2,3,9,1
20,153,0001,4,18,12,2017,1,1,1,22,1,98,20,014,0033,1,5,1,1,2,2,18,1,11,20,002,0200,1,5,2,3,9,1
31,021,0001,5,17,2,2017,1,1,1,22,1,6,31,021,0022,1,4,1,1,6,2,19,1,11,31,021,0018,1,4,2,3,9,1
05,035,0001,15,5,8,2017,2,1,1,29,1,98,05,035,0001,15,6,1,1,2,2,24,1,2,05,035,0001,15,7,1,1,2,1
25,011,0001,11,25,9,2017,1,1,1,22,1,9,25,011,0132,8,1,1,1,2,2,20,1,11,25,011,0132,8,5,2,3,9,1
01,001,0001,15,13,1,2017,2,1,1,31,1,2,01,001,0001,15,7,1,1,2,2,25,1,11,01,001,0001,15,5,2,3,9,1
12,001,0107,2,3,3,2017,1,1,1,16,1,6,12,001,0107,2,4,1,1,3,2,19,1,11,12,001,0107,2,5,2,3,9,1
09,005,0001,16,16,2,2017,1,1,1,25,1,2,09,006,0001,14,7,1,1,2,2,26,1,98,09,005,0001,16,9,1,1,2,1
11,014,0001,11,23,10,2017,2,1,1,28,1,7,11,014,0221,1,4,1,1,3,2,23,1,11,11,014,0221,1,5,2,3,9,1
25,012,0001,14,1,11,2017,1,1,1,35,1,8,25,012,0001,14,9,1,1,2,2,28,1,98,25,012,0001,14,9,1,1,2,1
17,002,0001,5,3,2,2017,2,1,1,35,1,8,17,006,0001,13,6,1,1,4,2,29,1,98,17,002,0001,5,5,1,1,2,1
07,072,0006,2,8,12,2017,1,1,1,21,1,6,07,072,7777,1,4,1,1,3,2,18,1,11,07,072,7777,1,4,2,3,9,1
13,028,0001,10,14,2,2017,2,1,1,41,1,98,13,028,7777,1,1,1,1,2,2,37,1,11,13,028,7777,1,5,2,3,9,1
